date,limit_up,close,prev_settlement,open_interest,volume,limit_down,high,low,prev_close,open,total_turnover,settlement,dominant_id
2018-04-03,7756.0,7401.0,7386.0,61594.0,400440.0,7016.0,7437.0,7356.0,7419.0,7406.0,29640568800.0,7402.0,AP1805
2018-04-04,7773.0,7194.0,7402.0,54878.0,574360.0,7031.0,7420.0,7176.0,7401.0,7400.0,41865100400.0,7289.0,AP1805
2018-04-09,7654.0,7319.0,7289.0,48220.0,411800.0,6924.0,7346.0,7200.0,7194.0,7264.0,30044928000.0,7296.0,AP1805
2018-04-10,7661.0,7313.0,7296.0,49180.0,370486.0,6931.0,7373.0,7266.0,7319.0,7323.0,27067707160.0,7306.0,AP1805
2018-04-11,7672.0,7324.0,7306.0,43652.0,452892.0,6940.0,7399.0,7279.0,7313.0,7319.0,33255859560.0,7343.0,AP1805
2018-04-12,7579.0,7346.0,7606.0,88142.0,520134.0,6881.0,7349.0,7241.0,7324.0,7313.0,36570621540.0,7294.0,AP1810
2018-04-13,7646.0,7426.0,7294.0,102042.0,606690.0,6942.0,7431.0,7267.0,7083.0,7363.0,42886916100.0,7332.0,AP1810
2018-04-16,7686.0,7416.0,7332.0,102602.0,640174.0,6978.0,7470.0,7373.0,7163.0,7407.0,45804449700.0,7418.0,AP1810
2018-04-17,7776.0,7379.0,7418.0,91362.0,666602.0,7060.0,7395.0,7290.0,7153.0,7393.0,47148759460.0,7336.0,AP1810
2018-04-18,7690.0,7427.0,7336.0,101286.0,560674.0,6982.0,7462.0,7355.0,7116.0,7384.0,40015303380.0,7400.0,AP1810
2018-04-19,7757.0,7419.0,7400.0,101554.0,503922.0,7043.0,7442.0,7341.0,7164.0,7433.0,35914520940.0,7390.0,AP1810
2018-04-20,7747.0,7437.0,7390.0,111636.0,588000.0,7033.0,7470.0,7357.0,7156.0,7393.0,42006720000.0,7407.0,AP1810
2018-04-23,7765.0,7765.0,7407.0,167276.0,1021878.0,7049.0,7765.0,7483.0,7174.0,7498.0,75649628340.0,7666.0,AP1810
2018-04-24,8037.0,7791.0,7666.0,163418.0,802598.0,7295.0,7820.0,7734.0,7502.0,7765.0,60315239700.0,7778.0,AP1810
2018-04-25,8154.0,7758.0,7778.0,149010.0,711790.0,7402.0,7775.0,7689.0,7528.0,7763.0,53170713000.0,7733.0,AP1810
2018-04-26,8107.0,8021.0,7733.0,191088.0,1728794.0,7359.0,8093.0,7721.0,7495.0,7746.0,133307305340.0,7974.0,AP1810
2018-04-27,8360.0,8036.0,7974.0,177128.0,1958556.0,7588.0,8183.0,7929.0,7758.0,8021.0,152571512400.0,8053.0,AP1810
2018-05-02,8443.0,8200.0,8053.0,208624.0,1446940.0,7663.0,8250.0,8055.0,7773.0,8153.0,114235913000.0,8158.0,AP1810
2018-05-03,8553.0,8207.0,8158.0,229762.0,1225858.0,7763.0,8218.0,8107.0,7937.0,8191.0,96732454780.0,8154.0,AP1810
2018-05-04,8549.0,8095.0,8154.0,209160.0,1745744.0,7759.0,8207.0,7955.0,7944.0,8193.0,136063287360.0,8057.0,AP1810
2018-05-07,8447.0,8124.0,8057.0,216544.0,1152764.0,7667.0,8183.0,8069.0,7832.0,8103.0,90526556920.0,8116.0,AP1810
2018-05-08,8509.0,8329.0,8116.0,270036.0,1679998.0,7723.0,8351.0,8076.0,7861.0,8124.0,133778240740.0,8226.0,AP1810
2018-05-09,8625.0,8358.0,8226.0,276058.0,1589194.0,7827.0,8411.0,8275.0,8066.0,8333.0,128549902660.0,8352.0,AP1810
